X0,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,Y
a,s,?,?,_,t,a,m,b,i,?,?,n,_,s,e,_,c,o,n,s,i,d,e,r,a,_,s,o,f,t,w,a,r,e,_,p,o,r,_,l,a,_,c,o,d,i,f,i,c,Spanish
e,s,t,a,_,r,e,d,i,s,t,r,i,b,u,c,i,?,?,n,_,p,r,e,s,e,n,t,a,_,e,l,_,r,e,q,u,i,s,i,t,o,_,d,e,_,q,u,e,_,Spanish
ƒ,?,?,_,s,i,n,_,e,m,b,a,r,g,o,_,s,e,_,h,a,b,?,?,a,_,e,s,t,a,d,o,_,t,r,a,b,a,j,a,n,d,o,_,e,n,_,e,l,_,Spanish
ƒ,?,?,_,a,_,c,a,d,a,_,a,u,t,o,r,_,e,d,i,t,o,r,_,o,_,i,l,u,s,t,r,a,d,o,r,_,q,u,e,_,c,o,n,t,r,i,b,u,y,Spanish
ƒ,?,?,_,u,n,_,a,u,t,o,r,_,t,a,m,b,i,?,?,n,_,p,u,e,d,e,_,c,o,p,i,a,r,_,c,o,n,t,e,n,i,d,o,_,d,e,_,o,t,Spanish
p,o,r,_,e,l,l,o,_,e,n,_,l,a,_,w,i,k,i,p,e,d,i,a,_,e,n,_,i,n,g,l,?,?,s,_,p,u,e,d,e,_,a,p,a,r,e,c,e,r,Spanish
ƒ,?,?,_,a,_,e,x,c,e,p,c,i,?,?,n,_,d,e,l,_,c,o,n,t,e,n,i,d,o,_,y,_,v,a,r,i,a,s,_,d,e,_,s,u,s,_,c,a,r,Spanish
ƒ,?,?,_,p,a,r,a,_,l,a,_,f,u,n,d,a,c,i,?,?,n,_,l,a,_,p,r,i,v,a,c,i,d,a,d,_,d,e,_,l,a,_,i,n,f,o,r,m,a,Spanish
ƒ,?,?,_,m,u,c,h,o,s,_,a,r,t,?,?,c,u,l,o,s,_,s,o,n,_,r,e,v,e,r,t,i,d,o,s,_,o,_,i,n,c,l,u,s,o,_,o,c,u,Spanish
d,e,_,e,s,t,e,_,m,o,d,o,_,p,o,r,_,e,j,e,m,p,l,o,_,s,e,_,e,l,i,m,i,n,a,n,_,l,a,s,_,e,d,i,c,i,o,n,e,s,Spanish
ƒ,?,?,_,e,n,_,c,u,a,n,t,o,_,a,_,l,a,_,c,o,m,u,n,i,d,a,d,_,l,o,s,_,u,s,u,a,r,i,o,s,_,n,o,_,c,e,d,e,n,Spanish
ƒ,?,?,_,e,l,l,o,_,p,e,r,m,i,t,e,_,a,t,r,i,b,u,i,r,_,d,e,_,u,n,a,_,m,a,n,e,r,a,_,?,®,a,n,?,?,n,i,m,a,Spanish
p,a,r,a,_,a,d,m,i,n,i,s,t,r,a,r,_,p,o,r,_,e,j,e,m,p,l,o,_,s,e,_,r,e,a,l,i,z,a,n,_,e,s,t,a,d,?,?,s,t,Spanish
e,n,_,c,u,a,n,t,o,_,a,_,l,a,_,a,t,r,i,b,u,c,i,?,?,n,_,c,r,e,a,t,i,v,e,_,c,o,m,m,o,n,s,_,p,o,r,_,s,u,Spanish
ƒ,?,?,_,e,n,_,l,a,_,w,i,k,i,p,e,d,i,a,_,e,n,_,a,l,e,m,?,­,n,_,l,o,s,_,a,r,t,?,?,c,u,l,o,s,_,n,o,_,s,Spanish
s,e,_,e,s,t,?,­,_,b,a,r,a,j,a,n,d,o,_,l,a,_,p,o,s,i,b,i,l,i,d,a,d,_,d,e,_,a,p,l,i,c,a,r,_,l,a,_,m,i,Spanish
ƒ,?,?,_,w,i,k,i,p,e,d,i,a,_,e,s,t,?,­,_,s,i,e,n,d,o,_,e,d,i,t,a,d,a,_,p,o,r,_,m,i,l,e,s,_,d,e,_,p,e,Spanish
c,o,n,_,e,x,c,e,p,c,i,?,?,n,_,d,e,_,c,i,e,r,t,a,s,_,p,e,r,s,o,n,a,s,_,r,e,m,u,n,e,r,a,d,a,s,_,p,o,r,Spanish
ƒ,?,?,_,e,n,_,t,o,t,a,l,_,l,a,_,c,o,m,u,n,i,d,a,d,_,e,s,t,?,­,_,c,o,n,f,o,r,m,a,d,a,_,p,o,r,_,m,?,­,Spanish
ƒ,?,?,_,e,n,_,l,a,s,_,p,?,­,g,i,n,a,s,_,i,n,t,e,r,n,a,s,_,d,e,_,w,i,k,i,p,e,d,i,a,_,ƒ,?,?,d,i,r,i,g,Spanish
h,a,y,_,d,i,v,e,r,s,a,s,_,f,o,r,m,a,s,_,d,e,_,c,o,l,a,b,o,r,a,r,_,d,e,s,d,e,_,c,r,e,a,r,_,n,u,e,v,o,Spanish
a,c,t,u,a,l,m,e,n,t,e,_,s,o,n,_,a,d,m,i,n,i,s,t,r,a,d,o,r,e,s,_,h,u,m,a,n,o,s,_,y,_,s,o,n,_,s,i,s,t,Spanish
p,a,r,a,_,c,o,l,a,b,o,r,a,r,_,n,o,_,e,s,_,n,e,c,e,s,a,r,i,o,_,r,e,g,i,s,t,r,a,r,s,e,_,_,_,_,_,_,_,_,Spanish
p,o,r,_,e,s,e,_,m,o,t,i,v,o,_,l,o,s,_,c,o,n,t,r,i,b,u,y,e,n,t,e,s,_,q,u,e,_,n,o,_,s,e,_,r,e,g,i,s,t,Spanish
p,o,r,_,n,o,_,e,s,t,a,r,_,r,e,g,i,s,t,r,a,d,o,s,_,t,i,e,n,e,n,_,r,e,s,t,r,i,n,g,i,d,a,s,_,c,i,e,r,t,Spanish
e,n,_,w,i,k,i,p,e,d,i,a,_,e,l,_,r,e,g,i,s,t,r,o,_,e,s,_,g,r,a,t,u,i,t,o,_,e,_,i,n,s,t,a,n,t,?,­,n,e,Spanish
e,l,_,u,s,u,a,r,i,o,_,r,e,g,i,s,t,r,a,d,o,_,a,_,d,i,f,e,r,e,n,c,i,a,_,d,e,l,_,a,n,?,?,n,i,m,o,_,s,e,Spanish
u,n,a,_,c,o,n,d,i,c,i,?,?,n,_,n,e,c,e,s,a,r,i,a,_,a,_,l,a,_,h,o,r,a,_,d,e,_,r,e,g,i,s,t,r,a,r,s,e,_,Spanish
ƒ,?,?,_,a,_,a,l,g,u,n,o,s,_,u,s,u,a,r,i,o,s,_,q,u,e,_,y,a,_,l,l,e,v,a,n,_,u,n,_,c,i,e,r,t,o,_,t,i,e,Spanish
e,s,_,u,n,a,_,m,e,d,i,d,a,_,d,e,_,e,c,o,n,o,m,?,?,a,_,d,e,_,e,s,f,u,e,r,z,o,s,_,q,u,e,_,p,e,r,m,i,t,Spanish
a,l,_,d,?,?,a,_,d,e,_,h,o,y,_,e,n,_,l,a,_,e,d,i,c,i,?,?,n,_,e,n,_,e,s,p,a,?,ñ,o,l,_,h,a,y,_,r,e,g,i,Spanish
d,e,_,a,c,u,e,r,d,o,_,a,_,c,h,r,i,s,t,i,a,n,_,s,t,e,g,b,a,u,e,r,_,u,n,_,s,o,c,i,?,?,l,o,g,o,_,a,l,e,Spanish
e,n,_,s,u,s,_,p,r,o,p,i,a,s,_,p,a,l,a,b,r,a,s,_,y,_,r,e,f,i,r,i,?,?,n,d,o,s,e,_,a,_,l,a,_,w,i,k,i,p,Spanish
ƒ,?,?,_,s,e,_,h,a,_,c,o,m,p,r,o,b,a,d,o,_,q,u,e,_,d,e,t,e,r,m,i,n,a,d,o,s,_,u,s,u,a,r,i,o,s,_,c,r,e,Spanish
ƒ,?,?,_,s,e,g,?,§,n,_,u,n,_,a,n,?,­,l,i,s,i,s,_,p,u,b,l,i,c,a,d,o,_,e,l,_,d,e,_,a,b,r,i,l,_,d,e,_,p,Spanish
l,a,_,n,o,t,i,c,i,a,_,f,u,e,_,a,m,p,l,i,a,m,e,n,t,e,_,r,e,c,o,g,i,d,a,_,p,o,r,_,l,o,s,_,m,e,d,i,o,s,Spanish
ƒ,?,?,_,e,s,t,a,_,?,§,l,t,i,m,a,_,a,f,i,r,m,a,c,i,?,?,n,_,f,u,e,_,d,e,s,m,e,n,t,i,d,a,_,p,o,r,_,j,i,Spanish
ƒ,?,?,_,u,n,a,_,p,e,q,u,e,?,ñ,a,_,p,a,r,t,e,_,d,e,_,l,o,s,_,u,s,u,a,r,i,o,s,_,d,e,_,w,i,k,i,p,e,d,i,Spanish
e,s,t,o,s,_,u,s,u,a,r,i,o,s,_,e,j,e,r,c,e,n,_,e,s,a,s,_,f,u,n,c,i,o,n,e,s,_,ƒ,?,?,t,r,a,s,_,s,e,r,_,Spanish
ƒ,?,?,_,s,e,g,?,§,n,_,e,l,_,s,o,c,i,?,?,l,o,g,o,_,a,l,e,m,?,­,n,_,c,h,r,i,s,t,i,a,n,_,s,t,e,g,b,a,u,Spanish
p,o,r,_,o,t,r,o,_,l,a,d,o,_,s,o,l,o,_,u,n,a,_,p,a,r,t,e,_,d,e,_,l,a,s,_,p,e,r,s,o,n,a,s,_,p,a,r,t,i,Spanish
s,i,_,e,s,_,u,n,_,a,d,m,i,n,i,s,t,r,a,d,o,r,_,e,l,_,q,u,e,_,p,r,o,p,o,n,e,_,a,_,u,n,_,c,a,n,d,i,d,a,Spanish
ƒ,?,?,_,l,a,_,f,u,n,d,a,c,i,?,?,n,_,w,i,k,i,m,e,d,i,a,_,d,e,s,c,r,i,b,e,_,l,o,s,_,s,i,g,u,i,e,n,t,e,Spanish
t,a,m,b,i,?,?,n,_,a,f,i,r,m,a,_,q,u,e,_,l,o,s,_,b,i,b,l,i,o,t,e,c,a,r,i,o,s,_,d,e,_,l,a,_,w,i,k,i,p,Spanish
ƒ,?,?,_,e,n,_,c,u,a,l,q,u,i,e,r,_,c,a,s,o,_,l,a,s,_,d,e,c,l,a,r,a,c,i,o,n,e,s,_,d,e,_,l,o,s,_,u,s,u,Spanish
ƒ,?,?,_,r,e,g,u,l,a,r,m,e,n,t,e,_,o,p,e,r,a,n,_,e,n,_,w,i,k,i,p,e,d,i,a,_,v,a,r,i,o,s,_,s,i,s,t,e,m,Spanish
s,e,_,d,e,n,o,m,i,n,a,n,_,b,o,t,s,_,ƒ,?,?,c,o,n,t,r,a,c,c,i,?,?,n,_,d,e,_,r,o,b,o,t,ƒ,?,?,_,y,_,c,u,Spanish
a,l,g,u,n,a,s,_,e,d,i,c,i,o,n,e,s,_,d,e,_,w,i,k,i,p,e,d,i,a,_,u,t,i,l,i,z,a,n,_,t,a,m,b,i,?,?,n,_,b,Spanish
p,a,r,a,_,s,e,r,_,c,o,n,s,i,d,e,r,a,d,o,s,_,c,o,m,o,_,t,a,l,e,s,_,d,e,b,e,n,_,t,e,n,e,r,_,a,l,_,m,e,Spanish
ƒ,?,?,_,w,i,k,i,p,e,d,i,a,_,s,e,_,e,j,e,c,u,t,a,_,s,o,b,r,e,_,e,l,_,s,o,f,t,w,a,r,e,_,l,i,b,r,e,_,m,Spanish
m,e,d,i,a,w,i,k,i,_,e,s,_,l,a,_,f,a,s,e,_,i,i,i,_,d,e,l,_,p,r,o,g,r,a,m,a,_,c,u,y,a,_,h,i,s,t,o,r,i,Spanish
e,n,_,j,u,l,i,o,_,d,e,_,d,e,s,p,u,?,?,s,_,d,e,_,e,x,t,e,n,s,a,s,_,p,r,u,e,b,a,s,_,b,e,t,a,_,l,a,_,e,Spanish
ƒ,?,?,ƒ,?,?,ƒ,?,?,ƒ,?,?,_,l,a,_,c,a,r,a,c,t,e,r,?,?,s,t,i,c,a,_,s,e,_,c,a,m,b,i,?,?,_,a,_,p,r,e,d,e,Spanish
w,i,k,i,p,e,d,i,a,_,a,c,t,u,a,l,m,e,n,t,e,_,s,e,_,e,j,e,c,u,t,a,_,e,n,_,g,r,u,p,o,s,_,d,e,d,i,c,a,d,Spanish
ƒ,?,?,ƒ,?,?,_,a,_,d,i,c,i,e,m,b,r,e,_,d,e,_,h,a,b,?,?,a,_,e,n,_,f,l,o,r,i,d,a,_,y,_,e,n,_,?,m,s,t,e,Spanish
ƒ,?,?,_,p,a,r,a,_,e,l,_,d,e,_,e,n,e,r,o,_,d,e,_,w,i,k,i,p,e,d,i,a,_,h,a,b,?,?,a,_,m,i,g,r,a,d,o,_,s,Spanish
ƒ,?,?,ƒ,?,?,_,e,n,_,w,i,k,i,p,e,d,i,a,_,h,a,b,?,?,a,_,i,n,s,t,a,l,a,d,o,_,u,n,_,c,l,?,§,s,t,e,r,_,d,Spanish
ƒ,?,?,_,n,o,t,a,_,n,o,_,d,e,b,e,_,c,o,n,f,u,n,d,i,r,s,e,_,w,i,k,i,p,e,d,i,a,_,c,o,n,_,l,a,_,f,u,n,d,Spanish
e,l,_,s,i,t,i,o,_,w,e,b,_,d,e,_,w,i,k,i,p,e,d,i,a,_,e,s,t,?,­,_,m,a,n,t,e,n,i,d,o,_,e,x,c,l,u,s,i,v,Spanish
ƒ,?,?,ƒ,?,?,_,s,u,_,e,x,i,s,t,e,n,c,i,a,_,f,u,e,_,o,f,i,c,i,a,l,m,e,n,t,e,_,a,n,u,n,c,i,a,d,a,_,p,o,Spanish
d,o,s,_,d,e,_,l,o,s,_,p,r,o,y,e,c,t,o,s,_,d,e,_,l,a,_,f,u,n,d,a,c,i,?,?,n,_,w,i,k,i,m,e,d,i,a,_,a,c,Spanish
u,n,o,_,e,s,_,u,n,_,a,l,m,a,c,?,?,n,_,d,e,_,c,o,n,t,e,n,i,d,o,_,m,u,l,t,i,m,e,d,i,a,_,q,u,e,_,l,o,s,Spanish
p,o,r,_,e,l,l,o,_,s,e,_,h,a,n,_,d,e,s,a,r,r,o,l,l,a,d,o,_,v,a,r,i,o,s,_,p,r,o,y,e,c,t,o,s,_,h,e,r,m,Spanish
t,o,d,o,s,_,e,l,l,o,s,_,s,o,n,_,t,a,m,b,i,?,?,n,_,m,u,l,t,i,l,i,n,g,?,¬,e,s,_,y,_,l,i,b,r,e,s,_,y,_,Spanish
ƒ,?,?,_,w,i,k,i,p,e,d,i,a,_,e,s,_,u,n,o,_,d,e,_,l,o,s,_,s,i,t,i,o,s,_,w,e,b,_,m,?,­,s,_,v,i,s,i,t,a,Spanish
ƒ,?,?,ƒ,?,?,_,e,s,t,e,_,h,e,c,h,o,_,s,u,m,a,d,o,_,a,_,l,a,_,i,n,f,l,u,e,n,c,i,a,_,c,a,d,a,_,v,e,z,_,Spanish
ƒ,?,?,ƒ,?,?,_,e,n,_,l,o,s,_,?,§,l,t,i,m,o,s,_,a,?,ñ,o,s,_,w,i,k,i,p,e,d,i,a,_,h,a,_,e,s,t,a,d,o,_,i,Spanish
ƒ,?,?,_,a,_,e,s,t,e,_,r,e,s,p,e,c,t,o,_,e,s,_,b,a,s,t,a,n,t,e,_,i,l,u,s,t,r,a,t,i,v,o,_,e,l,_,e,x,p,Spanish
e,s,t,e,_,e,x,p,e,r,i,m,e,n,t,o,_,d,e,m,u,e,s,t,r,a,_,l,a,_,f,u,e,r,z,a,_,d,e,_,i,n,t,e,r,n,e,t,_,a,Spanish
l,o,s,_,p,e,r,i,o,d,i,s,t,a,s,_,q,u,e,_,u,s,a,r,o,n,_,e,s,t,a,_,c,i,t,a,_,o,b,v,i,a,m,e,n,t,e,_,c,o,Spanish
e,n,_,c,u,a,n,t,o,_,a,_,w,i,k,i,p,e,d,i,a,_,l,o,s,_,e,r,r,o,r,e,s,_,n,o,r,m,a,l,m,e,n,t,e,_,s,e,_,c,Spanish
e,s,t,e,_,t,i,p,o,_,d,e,_,e,x,p,e,r,i,m,e,n,t,o,s,_,r,a,r,a,m,e,n,t,e,_,s,e,_,r,e,a,l,i,z,a,n,_,e,n,Spanish
p,o,r,_,o,t,r,a,_,p,a,r,t,e,_,e,x,i,s,t,e,n,_,p,e,r,s,o,n,a,s,_,q,u,e,_,a,c,u,s,a,n,_,a,_,w,i,k,i,p,Spanish
ƒ,?,?,_,e,n,_,c,u,a,l,q,u,i,e,r,_,c,a,s,o,_,w,i,k,i,p,e,d,i,a,_,c,o,m,o,_,p,r,o,y,e,c,t,o,_,d,e,_,f,Spanish
a,_,p,a,r,t,i,r,_,d,e,_,e,s,t,e,_,p,u,n,t,o,_,w,i,k,i,p,e,d,i,a,_,d,e,l,e,g,a,_,c,u,a,l,q,u,i,e,r,_,Spanish
d,e,_,a,h,?,?,_,e,n,t,r,e,_,o,t,r,a,s,_,c,o,s,a,s,_,l,a,_,i,m,p,o,r,t,a,n,c,i,a,_,d,e,_,l,a,_,v,e,r,Spanish
ƒ,?,?,_,s,e,_,h,a,n,_,p,r,o,d,u,c,i,d,o,_,v,a,r,i,o,s,_,c,a,s,o,s,_,e,n,_,l,o,s,_,q,u,e,_,d,i,r,i,g,Spanish
ƒ,?,?,ƒ,?,?,_,e,n,_,o,t,r,o,_,o,r,d,e,n,_,d,e,_,c,o,s,a,s,_,s,e,_,h,a,n,_,c,r,e,a,d,o,_,v,e,r,s,i,o,Spanish
e,n,t,r,e,_,l,a,s,_,m,?,­,s,_,c,o,n,o,c,i,d,a,s,_,s,e,_,e,n,c,u,e,n,t,r,a,n,_,e,n,_,i,n,g,l,?,?,s,_,Spanish
e,n,_,h,i,s,t,o,r,i,e,t,a,s,_,h,u,m,o,r,?,?,s,t,i,c,a,s,_,s,k,e,l,e,t,o,r,_,a,p,a,r,e,c,e,_,v,a,n,d,Spanish
ƒ,?,?,_,d,e,b,i,d,o,_,a,_,s,u,s,_,m,?,?,r,i,t,o,s,_,y,_,p,o,p,u,l,a,r,i,d,a,d,_,e,l,_,s,i,t,i,o,_,w,Spanish
ƒ,?,?,_,a,l,g,u,n,a,s,_,m,u,e,s,t,r,a,s,_,s,o,n,_,l,a,s,_,s,i,g,u,i,e,n,t,e,s,_,l,o,s,_,u,s,u,a,r,i,Spanish
p,o,r,_,e,j,e,m,p,l,o,_,e,n,_,s,e,_,c,r,e,?,?,_,u,n,_,p,r,o,y,e,c,t,o,_,l,l,a,m,a,d,o,_,w,i,k,i,-,r,Spanish
ƒ,?,?,_,p,r,o,y,e,c,t,o,s,_,d,e,_,e,s,e,_,t,i,p,o,_,o,_,s,i,m,i,l,a,r,e,s,_,s,e,_,o,r,g,a,n,i,z,a,n,Spanish
p,o,r,_,o,t,r,o,_,l,a,d,o,_,e,x,i,s,t,e,_,u,n,a,_,s,e,r,i,e,_,d,e,_,p,r,o,y,e,c,t,o,s,_,i,n,c,l,u,i,Spanish
ƒ,?,?,_,f,u,e,r,a,_,d,e,l,_,s,i,t,i,o,_,w,e,b,_,o,t,r,o,s,_,h,a,n,_,e,x,p,r,e,s,a,d,o,_,l,a,s,_,i,m,Spanish
p,o,r,_,e,j,e,m,p,l,o,_,v,i,c,e,n,t,e,_,v,e,r,d,?,§,_,e,n,_,u,n,_,a,r,t,?,?,c,u,l,o,_,d,e,_,l,a,_,v,Spanish
ƒ,?,?,_,p,o,r,_,s,u,_,p,a,r,t,e,_,e,n,_,u,n,_,a,r,t,?,?,c,u,l,o,_,d,e,_,o,p,i,n,i,?,?,n,_,e,n,_,t,e,Spanish
ƒ,?,?,_,e,n,_,u,n,a,_,e,n,t,r,e,v,i,s,t,a,_,c,o,n,_,j,i,m,m,y,_,w,a,l,e,s,_,r,e,p,r,e,s,e,n,t,a,n,t,Spanish
ƒ,?,?,_,c,o,n,_,m,o,t,i,v,o,_,d,e,l,_,d,?,?,c,i,m,o,_,a,n,i,v,e,r,s,a,r,i,o,_,d,e,_,w,i,k,i,p,e,d,i,Spanish
ƒ,?,?,_,e,n,_,e,l,_,?,­,m,b,i,t,o,_,e,c,o,n,?,?,m,i,c,o,_,a,l,e,x,_,k,o,n,a,n,y,k,h,i,n,_,f,u,n,d,a,Spanish
e,l,_,p,l,a,n,_,c,o,n,s,i,s,t,?,?,a,_,e,n,_,o,f,r,e,c,e,r,_,l,o,s,_,s,e,r,v,i,c,i,o,s,_,d,e,_,u,n,a,Spanish
s,e,g,?,§,n,_,k,o,n,a,n,y,k,h,i,n,_,e,s,t,e,_,m,o,d,e,l,o,_,f,i,n,a,n,c,i,e,r,o,_,a,s,e,g,u,r,a,r,?,Spanish
ƒ,?,?,_,n,o,_,o,b,s,t,a,n,t,e,_,w,i,k,i,p,e,d,i,a,_,l,e,j,o,s,_,d,e,_,p,r,e,s,e,n,t,a,r,_,a,p,u,r,o,Spanish
ƒ,?,?,_,l,a,_,c,r,?,?,t,i,c,a,_,a,_,w,i,k,i,p,e,d,i,a,_,h,a,_,s,i,d,o,_,d,i,r,i,g,i,d,a,_,h,a,c,i,a,Spanish
l,a,s,_,p,r,i,n,c,i,p,a,l,e,s,_,p,r,e,o,c,u,p,a,c,i,o,n,e,s,_,d,e,_,s,u,s,_,c,r,?,?,t,i,c,o,s,_,s,o,Spanish
w,i,k,i,p,e,d,i,a,_,t,a,m,b,i,?,?,n,_,h,a,_,s,i,d,o,_,c,r,i,t,i,c,a,d,a,_,p,o,r,_,s,u,_,m,a,n,e,j,o,Spanish
h,a,y,_,c,o,n,t,r,o,v,e,r,s,i,a,_,s,o,b,r,e,_,s,u,_,f,i,a,b,i,l,i,d,a,d,_,y,_,p,r,e,c,i,s,i,?,?,n,_,Spanish
ƒ,?,?,_,l,a,_,r,e,v,i,s,t,a,_,c,i,e,n,t,?,?,f,i,c,a,_,n,a,t,u,r,e,_,d,e,c,l,a,r,?,?,_,e,n,_,d,i,c,i,Spanish
ƒ,?,?,_,e,l,_,e,s,t,u,d,i,o,_,s,e,_,r,e,a,l,i,z,?,?,_,c,o,m,p,a,r,a,n,d,o,_,a,r,t,?,?,c,u,l,o,s,_,d,Spanish
e,l,_,r,e,s,u,l,t,a,d,o,_,f,u,e,_,q,u,e,_,w,i,k,i,p,e,d,i,a,_,t,e,n,?,?,a,_,c,a,s,i,_,e,l,_,m,i,s,m,Spanish
ƒ,?,?,_,p,o,r,_,o,t,r,o,_,l,a,d,o,_,y,_,s,e,g,?,§,n,_,c,o,n,s,t,a,_,e,n,_,u,n,_,r,e,p,o,r,t,a,j,e,_,Spanish
e,n,t,r,e,_,o,t,r,a,s,_,c,o,s,a,s,_,a,f,i,r,m,a,b,a,_,q,u,e,_,e,l,_,e,s,t,u,d,i,o,_,d,e,_,n,a,t,u,r,Spanish
ƒ,?,?,_,d,e,s,d,e,_,s,u,_,n,a,c,i,m,i,e,n,t,o,_,l,a,r,r,y,_,s,a,n,g,e,r,_,y,a,_,d,i,s,c,r,e,p,?,?,_,Spanish
(,),_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,Spanish
i,n,c,l,u,s,o,_,l,o,s,_,q,u,e,_,l,a,_,d,e,f,i,e,n,d,e,n,_,c,o,m,o,_,u,n,a,_,o,b,r,a,_,d,o,c,u,m,e,n,Spanish
ƒ,?,?,_,n,d,e,s,a,n,j,o,_,m,a,c,h,a,_,i,n,d,i,c,a,_,q,u,e,_,m,u,c,h,a,s,_,v,e,c,e,s,_,l,o,_,m,?,­,s,Spanish
p,a,r,a,_,b,o,b,_,m,c,h,e,n,r,y,_,e,x,e,d,i,t,o,r,_,d,e,_,l,a,_,e,n,c,i,c,l,o,p,e,d,i,a,_,b,r,i,t,?,Spanish
p,o,r,_,e,s,t,a,_,r,a,z,?,?,n,_,l,o,_,r,e,a,l,m,e,n,t,e,_,v,a,l,i,o,s,o,_,p,u,e,d,e,_,a,p,a,r,e,c,e,Spanish
ƒ,?,?,_,p,a,r,a,_,a,s,s,o,u,l,i,n,e,?,ÿ,e,t,_,a,l,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,Spanish
(,_,p,?,ÿ,),_,w,i,k,i,p,e,d,i,a,_,e,s,t,?,­,_,m,a,t,a,n,d,o,_,l,o,s,_,v,a,l,o,r,e,s,_,d,e,_,v,e,r,i,Spanish
s,e,g,?,§,n,_,e,l,_,a,u,t,o,r,_,e,s,t,a,_,e,n,c,i,c,l,o,p,e,d,i,a,_,e,n,_,l,?,?,n,e,a,_,e,s,_,t,a,m,Spanish
ƒ,?,?,_,a,d,e,m,?,­,s,_,p,r,e,s,e,n,t,a,_,p,r,o,b,l,e,m,a,s,_,e,n,_,l,a,_,d,i,f,e,r,e,n,c,i,a,c,i,?,Spanish
o,t,r,o,_,e,j,e,m,p,l,o,_,e,r,a,_,e,l,_,a,r,t,?,?,c,u,l,o,_,s,o,b,r,e,_,a,l,e,x,a,n,d,r,e,_,s,o,l,z,Spanish
ƒ,?,?,_,l,o,s,_,e,j,e,m,p,l,o,s,_,d,a,d,o,s,_,p,o,r,_,a,s,s,o,u,l,i,n,e,_,s,o,b,r,e,_,l,a,_,e,x,c,e,Spanish
l,a,_,c,o,n,c,l,u,s,i,?,?,n,_,f,u,e,_,q,u,e,_,l,a,_,w,i,k,i,p,e,d,i,a,_,e,n,_,i,n,g,l,?,?,s,_,m,o,s,Spanish
e,n,_,e,s,e,_,m,i,s,m,o,_,a,?,ñ,o,_,l,a,_,u,n,i,v,e,r,s,i,d,a,d,_,d,e,_,o,x,f,o,r,d,_,d,e,m,o,s,t,r,Spanish
ƒ,?,?,_,d,o,s,_,d,e,_,l,o,s,_,p,r,i,n,c,i,p,a,l,e,s,_,m,o,t,i,v,o,s,_,p,o,r,_,l,o,s,_,c,u,a,l,e,s,_,Spanish
ƒ,?,?,_,p,o,r,_,s,u,_,p,a,r,t,e,_,l,o,s,_,a,c,t,o,s,_,v,a,n,d,?,­,l,i,c,o,s,_,m,o,d,i,f,i,c,a,c,i,o,Spanish
m,i,e,n,t,r,a,s,_,q,u,e,_,l,a,s,_,i,n,e,x,a,c,t,i,t,u,d,e,s,_,d,e,_,c,o,n,t,e,n,i,d,o,_,y,_,l,a,s,_,Spanish
p,o,r,_,e,j,e,m,p,l,o,_,l,a,_,e,x,p,o,s,i,c,i,?,?,n,_,a,_,u,n,a,_,m,a,y,o,r,_,a,f,l,u,e,n,c,i,a,_,d,Spanish
ƒ,?,?,ƒ,?,?,ƒ,?,?,_,p,e,r,o,_,n,o,_,s,o,l,o,_,s,e,_,t,r,a,t,a,_,d,e,_,e,d,i,c,i,o,n,e,s,_,d,e,n,t,r,Spanish
n,o,t,a,_,ƒ,?,?,_,l,a,_,w,i,k,i,p,e,d,i,a,_,e,n,_,i,n,g,l,?,?,s,_,p,o,s,e,e,_,u,n,a,_,e,n,t,r,a,d,a,Spanish
l,a,_,e,x,i,s,t,e,n,c,i,a,_,d,e,_,a,r,t,?,?,c,u,l,o,s,_,f,a,l,s,o,s,_,c,o,n,_,u,n,a,_,d,u,r,a,c,i,?,Spanish
e,n,_,o,t,r,o,s,_,c,a,s,o,s,_,a,d,e,m,?,­,s,_,d,e,_,l,a,_,d,u,r,a,c,i,?,?,n,_,d,e,s,t,a,c,a,_,l,o,s,Spanish
ƒ,?,?,_,d,e,_,m,a,n,e,r,a,_,s,i,m,i,l,a,r,_,p,a,s,?,?,_,c,o,n,_,e,l,_,a,r,t,?,?,c,u,l,o,_,c,a,y,o,_,Spanish
ƒ,?,?,_,u,n,o,_,d,e,_,l,o,s,_,m,?,­,s,_,c,o,n,t,r,o,v,e,r,s,i,a,l,e,s,_,f,u,e,_,s,a,n,t,i,a,g,o,_,s,Spanish
ƒ,?,?,ƒ,?,?,_,e,n,_,s,e,_,d,e,s,a,r,r,o,l,l,?,?,_,u,n,_,a,l,g,o,r,i,t,m,o,_,h,e,c,h,o,_,p,o,r,_,l,a,Spanish
ƒ,?,?,_,u,n,_,e,j,e,m,p,l,o,_,p,a,r,a,d,i,g,m,?,­,t,i,c,o,_,d,e,_,v,a,n,d,a,l,i,s,m,o,_,m,a,s,i,v,o,Spanish
